SentimentID,PostID,UserID,DateID,SentimentScore,SentimentCategory
93,93,2556,93,-0.88,Positive
94,94,2420,94,0.11,Neutral
95,95,1293,95,-0.1,Negative
96,96,3803,96,-0.11,Negative
97,97,3457,97,0.28,Neutral
98,98,521,98,-0.01,Neutral
99,99,3194,99,-0.86,Positive
100,100,1950,100,-0.86,Neutral
101,101,2033,101,-0.36,Neutral
102,102,2890,102,-0.23,Negative
103,103,4318,103,0.93,Positive
104,104,1987,104,-0.58,Positive
105,105,4892,105,0.12,Positive
106,106,1643,106,0.53,Neutral
107,107,1064,107,0.26,Neutral
108,108,3699,108,-0.56,Negative
109,109,1297,109,0.4,Negative
110,110,558,110,-0.61,Positive
111,111,2074,111,0.24,Negative
112,112,3182,112,-0.22,Neutral
113,113,3925,113,0.45,Positive
114,114,3585,114,0.7,Neutral
115,115,265,115,0.07,Positive
116,116,2611,116,0.09,Neutral
117,117,2022,117,-0.59,Neutral
118,118,1134,118,-0.78,Neutral
119,119,3037,119,0.37,Positive
120,120,1237,120,0.71,Negative
121,121,1073,121,-0.59,Negative
122,122,4108,122,0.39,Neutral
123,123,2110,123,-0.63,Neutral
124,124,4818,124,0.45,Negative
125,125,2948,125,0.31,Negative
126,126,666,126,0.79,Neutral
127,127,2367,127,-0.76,Negative
128,128,191,128,-0.15,Positive
129,129,2664,129,-0.47,Negative
130,130,1720,130,0.22,Neutral
131,131,2321,131,0.0,Positive
132,132,1348,132,-0.42,Negative
133,133,4233,133,-0.21,Negative
134,134,4461,134,0.65,Negative
135,135,4163,135,0.41,Negative
136,136,2410,136,-0.13,Neutral
137,137,56,137,-0.9,Negative
138,138,34,138,-0.44,Neutral
139,139,4517,139,-0.14,Negative
140,140,2659,140,0.71,Positive
141,141,2074,141,0.4,Positive
142,142,3243,142,0.18,Neutral
143,143,1578,143,0.46,Neutral
144,144,4923,144,-0.87,Negative
145,145,4092,145,0.94,Positive
146,146,3829,146,-0.52,Neutral
147,147,2073,147,-0.59,Negative
148,148,244,148,-0.63,Negative
149,149,3021,149,-0.03,Negative
150,150,3881,150,-0.7,Neutral
151,151,4299,151,-0.02,Neutral
152,152,3474,152,0.53,Negative
153,153,2923,153,0.8,Neutral
154,154,2589,154,-0.2,Negative
155,155,3667,155,0.32,Neutral
156,156,2046,156,-0.03,Neutral
157,157,674,157,-0.21,Positive
158,158,1002,158,0.78,Neutral
159,159,2227,159,-0.84,Positive
160,160,1096,160,0.88,Negative
161,161,2629,161,0.19,Negative
162,162,1472,162,0.88,Negative
163,163,2773,163,0.37,Positive
164,164,2299,164,-0.93,Negative
165,165,4701,165,-0.45,Negative
166,166,551,166,-0.19,Neutral
167,167,4430,167,0.67,Neutral
168,168,2840,168,-0.53,Positive
169,169,2984,169,-0.74,Negative
170,170,2188,170,-0.31,Negative
171,171,1285,171,-0.86,Negative
172,172,450,172,-0.33,Neutral
173,173,4193,173,-0.43,Positive
174,174,1365,174,-0.83,Positive
175,175,4549,175,0.82,Neutral
176,176,464,176,-0.47,Negative
177,177,1703,177,0.33,Neutral
178,178,4868,178,-0.17,Positive
179,179,1210,179,-0.78,Positive
180,180,3610,180,-0.94,Neutral
181,181,4460,181,-0.51,Positive
182,182,4476,182,-0.79,Negative
183,183,3844,183,0.54,Neutral
184,184,1964,184,-0.13,Positive
185,185,2951,185,-0.23,Negative
186,186,1828,186,-0.48,Negative
187,187,3018,187,0.17,Positive
188,188,1429,188,-0.49,Neutral
189,189,2607,189,0.67,Neutral
190,190,3106,190,-0.8,Positive
191,191,1610,191,0.27,Neutral
192,192,1517,192,-0.88,Negative
193,193,4163,193,0.05,Positive
194,194,1425,194,-0.51,Positive
195,195,2281,195,-0.9,Neutral
196,196,2231,196,-0.62,Negative
197,197,2080,197,-0.78,Positive
198,198,131,198,0.03,Neutral
199,199,2544,199,0.59,Neutral
200,200,1744,200,-0.42,Neutral
201,201,737,201,-0.18,Positive
202,202,2164,202,-0.34,Neutral
203,203,2375,203,-0.65,Negative
204,204,2319,204,-0.22,Negative
205,205,2158,205,-0.14,Positive
206,206,31,206,0.39,Negative
207,207,3495,207,0.7,Negative
208,208,294,208,-0.2,Neutral
209,209,2458,209,0.54,Positive
210,210,2106,210,-0.1,Positive
211,211,2994,211,-0.17,Positive
212,212,321,212,-0.48,Negative
213,213,3910,213,0.24,Positive
214,214,3566,214,0.97,Positive
215,215,2511,215,0.92,Positive
216,216,4178,216,0.2,Negative
217,217,2112,217,0.04,Neutral
218,218,576,218,0.43,Neutral
219,219,4349,219,0.97,Neutral
220,220,3583,220,0.62,Neutral
221,221,4521,221,0.06,Positive
222,222,2077,222,0.03,Neutral
223,223,1938,223,0.74,Positive
224,224,2949,224,0.97,Positive
225,225,721,225,0.77,Neutral
226,226,2088,226,0.76,Negative
227,227,463,227,-0.61,Positive
228,228,3977,228,-0.08,Neutral
229,229,4692,229,-0.68,Negative
230,230,1461,230,-0.81,Negative
231,231,4087,231,0.79,Neutral
232,232,406,232,-0.51,Positive
233,233,2218,233,-0.95,Negative
234,234,1865,234,-0.0,Positive
235,235,4716,235,0.84,Positive
236,236,417,236,-0.86,Negative
237,237,4692,237,-0.44,Neutral
238,238,1164,238,0.28,Negative
239,239,790,239,-0.43,Neutral
240,240,302,240,0.34,Negative
241,241,1154,241,-0.99,Negative
242,242,3477,242,0.14,Negative
243,243,793,243,-0.78,Neutral
244,244,2202,244,-0.47,Negative
245,245,794,245,-0.34,Positive
246,246,2208,246,0.09,Neutral
247,247,3727,247,0.13,Neutral
248,248,4678,248,-0.39,Neutral
249,249,1980,249,-0.47,Positive
250,250,2352,250,0.71,Negative
251,251,3983,251,0.45,Negative
252,252,896,252,0.88,Negative
253,253,1432,253,0.52,Neutral
254,254,4952,254,-0.74,Negative
255,255,48,255,-0.19,Negative
256,256,645,256,0.66,Positive
257,257,3795,257,-0.13,Neutral
258,258,3274,258,-0.15,Positive
259,259,4069,259,0.64,Negative
260,260,3596,260,0.15,Positive
261,261,2021,261,0.65,Neutral
262,262,3731,262,-0.06,Negative
263,263,1887,263,0.62,Neutral
264,264,1067,264,-0.58,Positive
265,265,3052,265,0.45,Neutral
266,266,2724,266,-0.05,Neutral
267,267,2560,267,0.52,Negative
268,268,2583,268,-0.89,Negative
269,269,1951,269,-0.45,Positive
270,270,72,270,0.19,Negative
271,271,2591,271,-0.21,Negative
272,272,1059,272,0.87,Positive
273,273,592,273,0.3,Neutral
274,274,2053,274,-0.14,Neutral
275,275,1042,275,-0.81,Positive
276,276,4108,276,-0.31,Positive
277,277,3740,277,0.6,Neutral
278,278,2216,278,0.04,Neutral
279,279,1038,279,-0.98,Neutral
280,280,2742,280,0.93,Negative
281,281,4694,281,0.79,Negative
282,282,4463,282,0.03,Neutral
283,283,1185,283,0.31,Positive
284,284,146,284,0.89,Negative
285,285,2963,285,-0.85,Positive
286,286,2334,286,0.13,Positive
287,287,2224,287,-0.68,Positive
288,288,1467,288,0.22,Neutral
289,289,1453,289,-0.87,Neutral
290,290,656,290,-0.27,Positive
291,291,4625,291,-0.42,Negative
292,292,1608,292,0.52,Neutral
293,293,4110,293,-0.41,Neutral
294,294,1570,294,-0.37,Neutral
295,295,2245,295,0.82,Neutral
296,296,2478,296,-0.45,Negative
297,297,1398,297,-0.56,Neutral
298,298,3880,298,-0.32,Negative
299,299,2880,299,0.32,Neutral
300,300,466,300,0.85,Negative
301,301,790,301,-0.66,Neutral
302,302,4648,302,-0.35,Positive
303,303,4569,303,-0.98,Neutral
304,304,1209,304,0.14,Positive
305,305,761,305,-0.4,Positive
306,306,3011,306,-0.92,Negative
307,307,123,307,0.77,Positive
308,308,478,308,-0.89,Positive
309,309,3759,309,0.64,Positive
310,310,1813,310,0.93,Neutral
311,311,4266,311,-0.23,Neutral
312,312,1431,312,0.05,Neutral
313,313,4592,313,0.44,Negative
314,314,4229,314,0.55,Positive
315,315,1805,315,-0.44,Neutral
316,316,2573,316,0.22,Neutral
317,317,4386,317,0.66,Neutral
318,318,2312,318,-0.49,Positive
319,319,1130,319,-0.36,Negative
320,320,702,320,-0.98,Positive
321,321,1635,321,0.36,Positive
322,322,2184,322,-0.4,Negative
323,323,482,323,0.32,Positive
324,324,4209,324,-0.39,Neutral
325,325,1743,325,0.12,Neutral
326,326,1228,326,0.82,Negative
327,327,4139,327,-0.55,Neutral
328,328,2665,328,-0.2,Neutral
329,329,2170,329,-0.43,Negative
330,330,991,330,0.49,Positive
331,331,814,331,0.76,Positive
332,332,1000,332,0.43,Neutral
333,333,2611,333,-0.43,Negative
334,334,4956,334,0.97,Negative
335,335,680,335,-0.83,Neutral
336,336,3337,336,0.06,Neutral
337,337,2439,337,0.16,Neutral
338,338,319,338,-0.18,Negative
339,339,3522,339,-0.48,Negative
340,340,2548,340,0.31,Positive
341,341,3971,341,-0.72,Negative
342,342,3979,342,-0.67,Positive
343,343,4959,343,0.96,Negative
344,344,4231,344,-0.93,Positive
345,345,4760,345,0.23,Negative
346,346,1359,346,-0.89,Neutral
347,347,259,347,0.18,Negative
348,348,2969,348,-0.81,Neutral
349,349,3725,349,0.94,Neutral
350,350,4202,350,-0.39,Positive
351,351,151,351,-0.5,Positive
352,352,3882,352,-0.9,Positive
353,353,4087,353,0.33,Positive
354,354,3029,354,-0.6,Neutral
355,355,4740,355,0.26,Negative
356,356,3656,356,-0.02,Neutral
357,357,850,357,-0.43,Negative
358,358,3344,358,0.72,Positive
359,359,4929,359,-0.23,Neutral
360,360,4722,360,-0.63,Neutral
361,361,2386,361,1.0,Neutral
362,362,3589,362,0.83,Negative
363,363,3411,363,0.56,Negative
364,364,872,364,0.46,Negative
365,365,277,365,-0.47,Positive
366,366,2055,366,-0.23,Positive
367,367,2218,367,-0.15,Positive
368,368,2751,368,0.77,Positive
369,369,3174,369,-0.08,Positive
370,370,4304,370,0.93,Positive
371,371,2557,371,-0.55,Negative
372,372,4053,372,0.74,Negative
373,373,1054,373,0.66,Neutral
374,374,1138,374,-0.65,Neutral
375,375,2522,375,0.92,Negative
376,376,1170,376,0.88,Positive
377,377,220,377,0.02,Positive
378,378,2344,378,-0.41,Positive
379,379,1912,379,0.71,Negative
380,380,2431,380,0.53,Neutral
381,381,3829,381,0.92,Positive
382,382,210,382,-0.05,Positive
383,383,3605,383,0.82,Positive
384,384,611,384,-0.76,Neutral
385,385,2901,385,0.59,Neutral
386,386,2838,386,-0.83,Negative
387,387,665,387,-0.23,Positive
388,388,2857,388,-0.18,Neutral
389,389,4844,389,-0.75,Neutral
390,390,2866,390,-0.11,Negative
391,391,1090,391,0.68,Positive
392,392,306,392,0.97,Neutral
393,393,3766,393,0.92,Neutral
394,394,517,394,0.3,Neutral
395,395,4494,395,0.17,Negative
396,396,4881,396,0.01,Negative
397,397,2420,397,-0.1,Positive
398,398,4158,398,-0.76,Neutral
399,399,3741,399,0.94,Negative
400,400,1581,400,0.05,Negative
401,401,4190,401,-0.89,Neutral
402,402,1003,402,-0.22,Negative
403,403,101,403,0.93,Neutral
404,404,392,404,0.08,Positive
405,405,2471,405,-0.43,Neutral
406,406,1120,406,-0.92,Neutral
407,407,3133,407,0.91,Neutral
408,408,1149,408,-0.55,Neutral
409,409,3312,409,0.67,Negative
410,410,1289,410,-0.63,Positive
411,411,1549,411,0.24,Neutral
412,412,1869,412,-0.47,Negative
413,413,1054,413,-0.98,Positive
414,414,4823,414,0.98,Neutral
415,415,2072,415,-0.94,Neutral
416,416,1917,416,-0.85,Neutral
417,417,4651,417,0.82,Negative
418,418,4123,418,0.11,Neutral
419,419,1378,419,0.91,Neutral
420,420,2388,420,0.43,Negative
421,421,110,421,0.93,Neutral
422,422,2198,422,0.6,Positive
423,423,3624,423,-0.19,Positive
424,424,3091,424,0.23,Neutral
425,425,1402,425,-0.4,Positive
426,426,2124,426,0.12,Neutral
427,427,1930,427,0.25,Neutral
428,428,175,428,-0.06,Neutral
429,429,980,429,0.62,Neutral
430,430,3146,430,0.52,Positive
431,431,3201,431,-0.63,Positive
432,432,849,432,0.34,Neutral
433,433,674,433,0.18,Positive
434,434,1517,434,0.18,Neutral
435,435,3758,435,0.21,Positive
436,436,1066,436,0.31,Positive
437,437,4561,437,-0.21,Positive
438,438,4849,438,-0.89,Negative
439,439,3963,439,-0.13,Neutral
440,440,1396,440,-0.77,Positive
441,441,2758,441,-0.98,Positive
442,442,2738,442,0.58,Neutral
443,443,795,443,-0.95,Neutral
444,444,3164,444,-0.92,Positive
445,445,2804,445,-0.18,Positive
446,446,3731,446,0.49,Neutral
447,447,3914,447,0.8,Neutral
448,448,874,448,-0.95,Positive
449,449,612,449,-0.12,Positive
450,450,418,450,-0.62,Neutral
451,451,2810,451,-0.25,Positive
452,452,2484,452,-0.68,Neutral
453,453,4583,453,0.49,Negative
454,454,2722,454,-0.96,Negative
455,455,4534,455,0.35,Negative
456,456,4756,456,-0.92,Neutral
457,457,745,457,-0.65,Negative
458,458,3875,458,-0.01,Neutral
459,459,1561,459,-0.6,Negative
460,460,1764,460,-0.31,Positive
461,461,2388,461,0.99,Positive
462,462,1948,462,-0.42,Negative
463,463,4634,463,-0.85,Neutral
464,464,2393,464,0.82,Negative
465,465,4594,465,0.42,Positive
466,466,3200,466,-0.87,Negative
467,467,1786,467,-0.67,Neutral
468,468,243,468,-0.52,Positive
469,469,634,469,0.57,Positive
470,470,3786,470,0.89,Negative
471,471,1765,471,-0.38,Negative
472,472,3267,472,0.67,Positive
473,473,4174,473,-0.16,Positive
474,474,4376,474,-0.0,Positive
475,475,3756,475,-0.39,Negative
476,476,69,476,-0.02,Negative
477,477,178,477,-0.76,Positive
478,478,3278,478,0.88,Positive
479,479,644,479,-0.22,Neutral
480,480,4886,480,-0.66,Negative
481,481,2360,481,0.62,Neutral
482,482,1603,482,0.47,Negative
483,483,3253,483,0.07,Negative
484,484,4773,484,-0.96,Negative
485,485,528,485,-0.33,Positive
486,486,2021,486,0.77,Negative
487,487,1323,487,-0.27,Negative
488,488,3854,488,-0.16,Negative
489,489,4191,489,-0.63,Positive
490,490,2127,490,0.97,Negative
491,491,968,491,-0.68,Neutral
492,492,105,492,0.4,Negative
493,493,1581,493,-0.26,Negative
494,494,1410,494,-0.39,Neutral
495,495,4335,495,-0.82,Negative
496,496,1829,496,-0.52,Positive
497,497,548,497,-0.46,Negative
498,498,2288,498,0.04,Negative
499,499,1177,499,-0.29,Negative
500,500,399,500,0.8,Negative
501,501,260,501,0.79,Neutral
502,502,3100,502,-0.52,Neutral
503,503,2033,503,0.73,Neutral
504,504,2733,504,-0.66,Neutral
505,505,4670,505,-0.94,Negative
506,506,4659,506,0.92,Negative
507,507,3897,507,0.18,Negative
508,508,3231,508,0.12,Negative
509,509,4444,509,0.18,Negative
510,510,2745,510,-0.22,Positive
511,511,4062,511,-0.58,Neutral
512,512,2984,512,0.45,Positive
513,513,3674,513,-0.38,Negative
514,514,3103,514,-0.98,Positive
515,515,3570,515,0.21,Positive
516,516,1448,516,0.02,Positive
517,517,1935,517,-0.09,Positive
518,518,4803,518,-0.69,Negative
519,519,71,519,0.37,Positive
520,520,2098,520,-0.89,Positive
521,521,4122,521,-0.37,Neutral
522,522,2294,522,0.88,Negative
523,523,2556,523,-0.67,Neutral
524,524,2727,524,-0.92,Positive
525,525,1183,525,0.02,Negative
526,526,3758,526,-0.6,Positive
527,527,2261,527,0.28,Neutral
528,528,1648,528,-0.75,Negative
529,529,945,529,-0.29,Negative
530,530,3678,530,0.47,Positive
531,531,4271,531,-0.25,Negative
532,532,3078,532,-0.14,Neutral
533,533,3473,533,-0.47,Positive
534,534,3020,534,-0.01,Neutral
535,535,878,535,0.03,Negative
536,536,3405,536,-0.58,Positive
537,537,3544,537,-0.54,Neutral
538,538,332,538,-0.2,Positive
539,539,2804,539,-0.52,Negative
540,540,33,540,0.14,Positive
541,541,1401,541,-0.14,Neutral
542,542,1102,542,0.32,Positive
543,543,3541,543,0.96,Neutral
544,544,2341,544,0.28,Positive
545,545,2556,545,-0.33,Positive
546,546,2593,546,-0.41,Negative
547,547,4673,547,0.42,Negative
548,548,1685,548,0.36,Negative
549,549,2991,549,0.76,Negative
550,550,4212,550,-0.8,Neutral
551,551,4014,551,0.06,Negative
552,552,4341,552,-0.2,Neutral
553,553,4884,553,0.05,Neutral
554,554,3714,554,0.24,Positive
555,555,3857,555,-0.11,Positive
556,556,926,556,-0.58,Positive
557,557,1627,557,-0.91,Positive
558,558,2044,558,0.02,Positive
559,559,1475,559,0.79,Neutral
560,560,1005,560,0.47,Negative
561,561,2012,561,0.81,Neutral
562,562,1063,562,-0.05,Neutral
563,563,217,563,-0.01,Neutral
564,564,3744,564,-0.8,Neutral
565,565,2928,565,-0.19,Positive
566,566,4845,566,-0.07,Neutral
567,567,552,567,0.75,Negative
568,568,4872,568,0.24,Negative
569,569,1240,569,-0.98,Positive
570,570,1414,570,0.73,Positive
571,571,4694,571,-0.19,Negative
572,572,3255,572,-0.67,Neutral
573,573,556,573,-0.22,Positive
574,574,3571,574,-0.34,Positive
575,575,2723,575,-0.94,Negative
576,576,2565,576,-0.42,Positive
577,577,3777,577,0.5,Negative
578,578,2350,578,-0.47,Negative
579,579,892,579,0.03,Negative
580,580,4596,580,0.03,Positive
581,581,1335,581,-0.6,Negative
582,582,1875,582,-0.91,Negative
583,583,738,583,-0.47,Neutral
584,584,3917,584,-0.55,Positive
585,585,2306,585,-0.26,Negative
586,586,2857,586,-0.84,Neutral
587,587,4678,587,-0.73,Negative
588,588,3121,588,-0.24,Neutral
589,589,2912,589,0.37,Negative
590,590,3131,590,-0.41,Neutral
591,591,2790,591,-0.83,Negative
592,592,1821,592,0.8,Neutral
593,593,1488,593,0.41,Negative
594,594,1561,594,0.79,Positive
595,595,3430,595,-0.47,Positive
596,596,4532,596,0.58,Neutral
597,597,3965,597,0.06,Neutral
598,598,2468,598,-0.46,Negative
599,599,3811,599,-0.18,Negative
600,600,2441,600,0.36,Negative
601,601,1040,601,-0.15,Neutral
602,602,774,602,-0.71,Negative
603,603,2811,603,-0.32,Negative
604,604,2989,604,-0.54,Positive
605,605,2730,605,0.73,Positive
606,606,3961,606,0.62,Neutral
607,607,2894,607,-0.73,Negative
608,608,486,608,0.19,Negative
609,609,190,609,0.72,Neutral
610,610,3071,610,-0.65,Negative
611,611,4134,611,-0.7,Neutral
612,612,2795,612,0.31,Positive
613,613,867,613,0.03,Positive
614,614,267,614,0.97,Negative
615,615,4687,615,-0.83,Positive
616,616,601,616,0.53,Neutral
617,617,4435,617,0.8,Positive
618,618,2139,618,0.59,Positive
619,619,3305,619,-0.25,Negative
620,620,1379,620,-0.46,Neutral
621,621,1822,621,-0.71,Neutral
622,622,2101,622,0.25,Positive
623,623,1629,623,0.78,Neutral
624,624,2875,624,-0.75,Neutral
625,625,3725,625,0.58,Neutral
626,626,2983,626,0.13,Positive
627,627,4705,627,-0.44,Positive
628,628,3898,628,-0.14,Neutral
629,629,2313,629,0.1,Positive
630,630,1744,630,0.35,Positive
631,631,796,631,0.13,Neutral
632,632,4488,632,-0.87,Neutral
633,633,3998,633,-0.9,Neutral
634,634,333,634,0.14,Negative
635,635,938,635,-0.8,Neutral
636,636,1404,636,-0.35,Negative
637,637,4370,637,0.49,Negative
638,638,1731,638,0.88,Neutral
639,639,840,639,-0.85,Positive
640,640,980,640,0.36,Negative
641,641,1054,641,-0.89,Negative
642,642,4241,642,0.12,Negative
643,643,3518,643,-0.16,Positive
644,644,4868,644,0.66,Negative
645,645,4234,645,0.25,Positive
646,646,1937,646,0.1,Negative
647,647,186,647,0.58,Positive
648,648,3158,648,0.64,Neutral
649,649,354,649,0.89,Neutral
650,650,4025,650,-0.9,Positive
651,651,3464,651,-0.85,Neutral
652,652,380,652,0.24,Positive
653,653,4823,653,0.35,Positive
654,654,525,654,-0.53,Neutral
655,655,763,655,-0.46,Neutral
656,656,255,656,-0.72,Neutral
657,657,282,657,0.78,Positive
658,658,607,658,-0.35,Negative
659,659,2638,659,-0.58,Positive
660,660,859,660,0.33,Negative
661,661,1196,661,0.41,Neutral
662,662,123,662,-0.24,Negative
663,663,3926,663,0.31,Neutral
664,664,1900,664,-0.52,Positive
665,665,2593,665,0.35,Neutral
666,666,3764,666,-0.13,Neutral
667,667,2612,667,0.58,Negative
668,668,3102,668,-0.52,Neutral
669,669,1152,669,0.0,Negative
670,670,4329,670,-0.08,Negative
671,671,1626,671,0.18,Neutral
672,672,4865,672,0.87,Negative
673,673,3642,673,-0.46,Neutral
674,674,24,674,0.75,Neutral
675,675,2974,675,0.82,Neutral
676,676,1439,676,0.73,Positive
677,677,4649,677,-0.88,Positive
678,678,3516,678,0.11,Negative
679,679,153,679,0.04,Positive
680,680,3878,680,-0.83,Positive
681,681,1613,681,0.78,Positive
682,682,2961,682,0.78,Positive
683,683,4614,683,-0.97,Neutral
684,684,909,684,0.58,Neutral
685,685,69,685,-0.06,Neutral
686,686,2225,686,-0.76,Negative
687,687,3071,687,-0.39,Positive
688,688,3466,688,-0.98,Neutral
689,689,2628,689,-0.58,Positive
690,690,3219,690,-0.54,Neutral
691,691,926,691,0.17,Positive
692,692,44,692,-0.61,Neutral
693,693,4030,693,0.2,Negative
694,694,3255,694,0.88,Positive
695,695,802,695,-0.81,Neutral
696,696,524,696,0.95,Positive
697,697,2719,697,-0.67,Neutral
698,698,54,698,0.53,Negative
699,699,254,699,-0.5,Neutral
700,700,4775,700,-0.04,Negative
701,701,82,701,0.26,Negative
702,702,3044,702,0.4,Neutral
703,703,1197,703,-0.09,Positive
704,704,947,704,-0.12,Positive
705,705,4433,705,0.4,Negative
706,706,3217,706,-0.51,Negative
707,707,4911,707,-0.49,Neutral
708,708,4950,708,0.49,Negative
709,709,2278,709,0.74,Neutral
710,710,1718,710,-0.76,Neutral
711,711,4390,711,0.52,Neutral
712,712,2274,712,-0.55,Negative
713,713,1933,713,-0.98,Neutral
714,714,1305,714,0.12,Positive
715,715,1014,715,0.59,Negative
716,716,3095,716,0.92,Negative
717,717,4866,717,0.97,Neutral
718,718,3806,718,-0.82,Positive
719,719,80,719,-0.23,Positive
720,720,2403,720,-0.47,Negative
721,721,163,721,0.85,Negative
722,722,2357,722,0.11,Negative
723,723,523,723,-0.89,Neutral
724,724,2674,724,0.25,Neutral
725,725,723,725,-0.22,Neutral
726,726,3075,726,-0.6,Negative
727,727,2129,727,0.91,Neutral
728,728,3177,728,-0.81,Negative
729,729,1753,729,-0.47,Negative
730,730,4532,730,-0.01,Positive
731,731,3041,731,0.53,Negative
732,732,426,732,-0.89,Negative
733,733,4809,733,-0.66,Neutral
734,734,3543,734,0.43,Neutral
735,735,3764,735,0.44,Negative
736,736,2784,736,-0.26,Neutral
737,737,3514,737,0.95,Neutral
738,738,1786,738,0.1,Neutral
739,739,3300,739,0.8,Positive
740,740,3971,740,0.91,Negative
741,741,2560,741,-0.42,Neutral
742,742,1992,742,-0.18,Negative
743,743,2830,743,0.13,Positive
744,744,410,744,-0.68,Positive
745,745,979,745,0.78,Negative
746,746,3266,746,0.9,Negative
747,747,195,747,-0.05,Neutral
748,748,1841,748,0.56,Neutral
749,749,2264,749,0.13,Neutral
750,750,349,750,0.58,Negative
751,751,4396,751,0.68,Neutral
752,752,1470,752,0.93,Neutral
753,753,1228,753,0.22,Positive
754,754,4713,754,0.31,Neutral
755,755,2380,755,0.6,Negative
756,756,1050,756,-0.3,Negative
757,757,2256,757,0.14,Positive
758,758,1771,758,-0.66,Negative
759,759,4006,759,-0.68,Negative
760,760,2292,760,-0.96,Positive
761,761,3626,761,-0.3,Positive
762,762,2215,762,0.81,Positive
763,763,2003,763,-0.21,Positive
764,764,240,764,-0.85,Positive
765,765,1710,765,0.72,Negative
766,766,731,766,-0.01,Neutral
767,767,4266,767,0.31,Neutral
768,768,2333,768,-0.88,Neutral
769,769,4860,769,-0.26,Positive
770,770,4600,770,-0.77,Positive
771,771,3040,771,0.91,Positive
772,772,3052,772,0.75,Positive
773,773,4734,773,-0.42,Negative
774,774,1647,774,-0.88,Positive
775,775,1813,775,0.38,Neutral
776,776,2905,776,0.64,Positive
777,777,2009,777,-0.54,Neutral
778,778,2547,778,0.53,Negative
779,779,930,779,0.85,Negative
780,780,4666,780,0.28,Positive
781,781,1767,781,-0.79,Neutral
782,782,597,782,-0.58,Neutral
783,783,1046,783,0.97,Negative
784,784,4369,784,-0.77,Negative
785,785,3207,785,-0.81,Neutral
786,786,2084,786,-0.56,Negative
787,787,3085,787,0.73,Negative
